번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
26,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·업무방해,2018고합24,2018. 6. 14.,형법,제314조,"피고인이, 사실은 甲 주식회사에서 생산하는 乙 물티슈에 메칠이소치아졸리논 성분이 함유되어 있지 않고, 피고인이 트위터에 게시한 사진은 乙 물티슈가 아닌 해외 물티슈 사용 피해 사례와 관련된 것임에도, 트위터에 “乙 물티슈 무엇이 문제인가요? 메칠이소치아졸리논이 함유된 물티슈를 사용한 소년의 치료 전후 사진”이라는 내용을 기재한 다음 접촉성 피부염 환자의 치료 전후 사진을 게시하는 등의 방법으로 허위 사실을 유포함으로써 물품 생산 및 판매와 관련한 甲 회사의 업무를 방해하였다는 내용으로 기소된 사안에서, 乙 물티슈에 함유된 유해 물질을 ‘메탄올’이 아닌 ‘메칠이소치아졸리논’이라고 적시한 오류가 있으나, ‘甲 회사가 판매하는 乙 물티슈가 피부병을 유발할 수 있다’는 게시물의 전체적인 취지를 허위라고 단정할 수 없다는 이유로 무죄를 선고한 사례"
,,,,형사소송법,제325조,
27,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·국민체육진흥법위반·전자금융거래법위반·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)·도박개장방조,2018도3619,2018. 5. 30.,범죄수익은닉의 규제 및 처벌 등에 관한 법률,"제1조, 제2조, 제8조","[1] 범죄수익은닉의 규제 및 처벌 등에 관한 법률에 정한 중대범죄에 해당하는 범죄행위에 의하여 취득한 것으로 재산적 가치가 인정되는 무형재산을 몰수할 수 있는지 여부(적극)
  [2] 피고인이 음란물유포 인터넷사이트를 운영하면서 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물유포)죄와 도박개장방조죄에 의하여 비트코인(Bitcoin)을 취득한 사안에서, 피고인의 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물유포)죄와 도박개장방조죄는 범죄수익은닉의 규제 및 처벌 등에 관한 법률에 정한 중대범죄에 해당하며, 비트코인은 재산적 가치가 있는 무형의 재산이라고 보아야 하고, 몰수의 대상인 비트코인이 특정되어 있다는 이유로, 피고인이 취득한 비트코인을 몰수할 수 있다고 본 원심판단이 정당하다고 한 사례"
,,,,범죄수익은닉의 규제 및 처벌 등에 관한 법률 시행령,제2조,
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조",
,,,,형법,"제32조, 제247조",
28,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2017도607,2018. 5. 30.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항에서 정한 ‘사실을 드러내어’의 의미 / 타인을 비방할 목적으로 인터넷 사이트에 게시글을 올리는 경우, 단순히 타인을 사칭하여 마치 그 사람이 직접 작성한 글인 것처럼 가장하여 게시글을 올리는 행위에 대하여 타인에 대한 관계에서 위 조항을 적용할 수 있는지 여부(소극)"
29,국민체육진흥법위반(도박개장등)·도박공간개설·국민체육진흥법위반(도박등)·상습도박·신용정보의이용및보호에관한법률위반교사·위증,2017노4280,2018. 4. 27.,,제70조,
30,대부업등의등록및금융이용자보호에관한법률위반·정보통신망이용촉진및정보보호등에관한법률위반,2017노4694,2018. 4. 26.,,제70조,
31,도시및주거환경정비법위반,2016도13811,2018. 4. 26.,도시 및 주거환경정비법,"제124조, 제138조","[1] 구 도시 및 주거환경정비법상 개별 조합에서 열람·복사의 방법을 특정하지 않은 경우, 조합임원이 현장교부 외에도 통상의 방법인 우편, 팩스 또는 정보통신망 중 어느 하나의 방법을 이용하여 조합원의 열람·복사 요청에 응하여야 하는지 여부(적극) 및 열람·복사를 요청한 조합원이 복사에 필요한 비용을 부담한다는 규정만으로 현장에서만 열람 및 복사할 것이 요구되는지 여부(소극)
[2] 주택재개발정비조합의 임원인 피고인들이 조합원으로부터 정비사업 시행에 관한 서류들에 대한 열람·복사 요청을 받고도 15일 이내에 이에 응하지 아니하였다고 하여 구 도시 및 주거환경정비법 위반으로 기소된 사안에서, 열람·복사를 신청한 조합원이 15일 이내에 조합을 방문하였음을 인정할 증거가 없다는 이유로 피고인들에게 무죄를 선고한 원심판단에 같은 법상의 열람·복사 요청에 응할 의무에 관한 법리오해 등의 위법이 있다고 한 사례"
,,,,도시 및 주거환경정비법 시행령,제94조,
,,,,형법,제30조,
32,아동·청소년의성보호에관한법률위반(알선영업행위등)·직업안정법위반·청소년보호법위반,2017고합412,2018. 4. 26.,,제30조,
33,전역처분등취소,2012두26401,2018. 3. 22.,군인의 지위 및 복무에 관한 기본법,"제25조, 제31조, 제39조, 제40조","[1] 군인이 상관의 지시와 명령에 대하여 헌법소원 등 재판청구권을 행사하는 것이 군인의 복종의무에 위반되는지 여부(원칙적 소극)
[2] 구 군인복무규율 제24조와 제25조를 군인에게 건의나 고충심사를 청구하여야 할 의무를 부과한 조항 내지 군인의 재판청구권 행사에 앞서 반드시 거쳐야 하는 군 내 사전절차로서의 의미를 갖는 것으로 볼 수 있는지 여부(소극)
[3] 구 군인복무규율 제13조 제1항에서 금지하는 ‘군무 외의 일을 위한 집단행위’의 의미 및 군인의 기본권 행사에 해당하는 행위가 이에 해당하는지 판단하는 방법"
,,,,군인의 지위 및 복무에 관한 기본법 시행령,제2조,
,,,,대한민국헌법,"제27조, 제37조",
34,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)ㆍ정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),2017도21656,2018. 3. 15.,대한민국헌법,제12조,성폭력범죄의 처벌 등에 관한 특례법 제14조 제1항의 처벌 대상이 ‘다른 사람의 신체 그 자체’를 카메라 등 기계장치를 이용해서 ‘직접’ 촬영하는 경우에 한정되는지 여부(적극) 및 다른 사람의 신체 이미지가 담긴 영상을 위 조항의 ‘다른 사람의 신체’에 포함시키는 해석이 허용되는지 여부(소극) / 같은 법 제14조 제2항 및 제3항에서 정한 ‘촬영물’의 의미(=‘다른 사람’을 촬영대상자로 하여 그 신체를 촬영한 촬영물) 및 자의에 의해 스스로 자신의 신체를 촬영한 촬영물을 위 조항의 촬영물에 포함시키는 해석이 허용되는지 여부(소극)
,,,,성폭력범죄의 처벌 등에 관한 특례법,제14조,
,,,,형법,제1조,
35,손해배상(기),2016나2090012,2018. 2. 2.,,제1조,
36,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·국민체육진흥법위반·전자금융거래법위반·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)·도박개장방조,2017노7120,2018. 1. 30.,국민체육진흥법,"제26조, 제49조","피고인이 음란사이트를 운영하면서 회원을 모집·관리하고 대량의 음란물을 유포하는 한편, 위 사이트에 불법 인터넷 도박 사이트의 광고를 게시하여 도박개장 범행을 방조하고, 타인의 접근매체를 불법 양수하여 차명계좌를 사용하는 방법으로 회원들 및 광고주들로부터 비트코인 등을 대가로 지급받았다는 내용의 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물유포) 등의 공소사실이 유죄로 인정된 사안에서, 가상화폐인 ‘비트코인’이 범죄수익은닉의 규제 및 처벌 등에 관한 법률에서 규정하는 ‘재산’에 해당하여 몰수의 대상이 된다는 이유로, 압수된 비트코인 중 범죄수익에 해당하는 부분에 대하여 몰수를 선고한 사례"
,,,,범죄수익은닉의 규제 및 처벌 등에 관한 법률,"제1조, 제2조, 제8조",
,,,,범죄수익은닉의 규제 및 처벌 등에 관한 법률 시행령,제2조,
,,,,아동ㆍ청소년의 성보호에 관한 법률,제11조,
,,,,전자금융거래법,"제6조, 제49조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조",
,,,,형법,"제32조, 제247조",
37,손해배상(기)ㆍ손해배상(기)ㆍ손해배상(기)ㆍ손해배상(기)(네이트ㆍ싸이월드 회원들의 개인정보 유출로 인한 손해배상 청구사건),2015다24904,2018. 1. 25.,민법,"제390조, 제750조, 제760조","[1] 정보통신서비스 제공자가 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제28조 제1항이나 정보통신서비스 이용계약에 따른 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였는지 판단하는 기준
[2] 정보통신서비스 제공자가 ‘개인정보의 기술적·관리적 보호조치 기준’(방송통신위원회 고시 제2011-1호)에서 정하고 있는 기술적·관리적 보호조치를 다한 경우, 개인정보의 안전성 확보에 필요한 보호조치를 취하여야 할 법률상 또는 계약상 의무를 위반하였다고 볼 수 있는지 여부(원칙적 소극) 및 정보통신서비스 제공자가 위 고시에서 정하고 있는 기술적·관리적 보호조치를 다하였더라도 위법행위로 평가되거나 민법 제760조 제3항에 따른 책임을 부담하게 되는 경우
[3] 인터넷상에서 포털서비스사업을 하는 甲 주식회사가 제공하는 온라인 서비스에 가입한 회원들의 개인정보가 해킹사고로 유출되었는데, 서비스 이용자인 乙 등이 甲 회사를 상대로 손해배상을 구한 사안에서, 정보통신서비스 제공자가 정보처리시스템에 접속한 개인정보취급자로 하여금 작업 종료 후 로그아웃을 하도록 하는 것은 보호조치 의무에 해당하지만, 위와 같은 보호조치의 미이행과 해킹사고의 발생 사이에 상당인과관계가 인정되지 아니하여 甲 회사의 손해배상책임이 인정되지 않는다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제28조, 제32조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행령,제15조,
38,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)〔인정된죄명:성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)〕,2017도17529,2017. 12. 28.,성폭력범죄의 처벌 등에 관한 특례법,제14조,성폭력범죄의 처벌 등에 관한 특례법 제14조 제2항에서 정한 ‘촬영물’의 의미(=‘다른 사람’을 촬영대상자로 하여 그 신체를 촬영한 촬영물) 및 자의에 의해 스스로 자신의 신체를 촬영한 촬영물이 이에 포함되는지 여부(소극)
,,,,형법,제1조,
39,아동·청소년의성보호에관한법률위반(음란물제작·배포등)[일부인정된죄명:성폭력범죄의처벌등에관한특례법위반(통신매체이용음란)]·강요미수·아동·청소년의성보호에관한법률위반(음란물소지)(공소취소로공소기각결정),2017고합194,2017. 12. 15.,,제1조,
40,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),2017노1867,2017. 12. 6.,,제1조,
41,국가보안법위반(찬양·고무등)·국가보안법위반(회합·통신등)·국가보안법위반(편의제공)·국가보안법위반(자진지원·금품수수),2017도9747,2017. 11. 29.,형사소송법,"제106조, 제107조, 제108조, 제109조, 제114조, 제120조, 제219조",피의자의 이메일 계정에 대한 접근권한에 갈음하여 발부받은 압수·수색영장에 따라 원격지의 저장매체에 적법하게 접속하여 내려받거나 현출된 전자정보를 대상으로 하여 범죄 혐의사실과 관련된 부분에 대하여 압수·수색하는 것이 허용되는지 여부(적극) 및 형사소송법 제120조 제1항에서 정한 ‘압수·수색영장의 집행에 필요한 처분’에 해당하는지 여부(적극) / 이러한 법리는 원격지의 저장매체가 국외에 있는 경우라도 마찬가지로 적용되는지 여부(적극)
42,대부업등의등록및금융이용자보호에관한법률위반·정보통신망이용촉진및정보보호등에관한법률위반,2017고단487,2017. 11. 22.,,"제106조, 제107조, 제108조, 제109조, 제114조, 제120조, 제219조",
